inputSeq,outputSeq
the poor orphans life hasnt bed roses easy means ,The poor orphans life hasnt been a bed of roses or easy by any means.
religious people priori belief god exists without physical proof ,Religious people have the a priori belief that God exists without any physical proof.
the longeared aardvark slept day ate insects night ,The long-eared aardvark slept all day and ate insects all night.
i taken aback servers rude comment hair ,I was taken aback by the servers rude comment about my hair.
the wind abaft made ship glide faster towards destination ,The wind was abaft which made the ship glide faster towards our destination.
since young girl unable care newborn decided abandon child fire station ,"Since the young girl was unable to care for the newborn, she decided to abandon the child at a fire station."
my stepmother evil woman likes abase little children miserable childhood herself ,My stepmother is an evil woman who likes to abase little children because she had a miserable childhood herself.
after abaser would make fun daughterinlaws cooking would continue talk bad young womans appearance well ,"After the abaser would make fun of her daughter-in-laws cooking, she would then continue to talk bad about the young womans appearance as well."
the officer tried abash inmates humiliating treating like dogs ,"The officer tried to abash the inmates, humiliating them and treating them like dogs."
i hope medicine abate pain leg ,I hope this medicine will abate the pain in my leg.
natalie longed abatement screaming rock music brothers band could focus homework ,Natalie longed for the abatement of the screaming rock music from her brothers band so she could focus on her homework.
although many farmers cattle slaughter animals site send abattoir ,"Although many farmers own cattle, they don't slaughter the animals on site but send them to an abattoir."
an abbess female leader small community nuns ,An Abbess is the female leader of a small community of nuns.
learning abbreviate long words help court reporter type quickly ,Learning to abbreviate long words will help the court reporter type more quickly.
the young prince became king older brother decided abdicate throne ,The young prince became king after his older brother decided to abdicate the throne.
my severe abdominal pains sent hospital i learned nothing trapped gas ,My severe abdominal pains sent me to the hospital where I learned that it was nothing more than trapped gas.
the kidnappers planned abduct millionaires daughter ,The kidnappers planned to abduct the millionaires daughter.
we decided organize files abecedarian manner could find looking name easily ,We decided to organize the files in an abecedarian manner so we could find what we were looking for by name more easily.
johns aberrant behavior going get lot trouble one days ,Johns aberrant behavior is going to get him in a lot of trouble one of these days.
shelleys angry retort aberration normally quiet demeanor ,Shelleys angry retort was an aberration from her normally quiet demeanor.
the photo editing software sure abet odds winning photo competition ,The photo editing software is sure to abet my odds of winning the photo competition.
immediately following terrorist attack pilots observe period abeyance could depart airport ,"Immediately following the terrorist attack, pilots had to observe a period of abeyance where they could not depart from the airport."
i abhor liars ,I abhor liars.
my abhorrence racism makes avoid people racist attitudes ,My abhorrence of racism makes me avoid people with racist attitudes.
as i looked around filthy apartment i wonder could live abhorrent conditions ,"As I looked around the filthy apartment, I had to wonder who could live in such abhorrent conditions."
i find difficult abide narrowminded attitude prejudiced person ,I find it difficult to abide the narrow-minded attitude of a prejudiced person.
the flash ability run faster speed light ,The Flash has the ability to run faster than the speed of light.
unlike alive biotic organisms abiotic factors nonliving ,"Unlike alive biotic organisms, abiotic factors are nonliving."
after wife died abject man ,"After his wife died, he was an abject man."
after tyrant took country citizens abjure political beliefs ,"After the tyrant took over the country, the citizens had to abjure their political beliefs."
the cops threw jack ground arrested set american flag ablaze ,The cops threw Jack to the ground and arrested him after he set the American flag ablaze.
if injured sick generally considered ablebodied individual capable physical exertion ,"If you are not injured or sick, you can generally be considered an able-bodied individual capable of physical exertion."
being healthy young man i perfectly able engage manual labor matter kind physical stress includes ,"Being a healthy young man, I am perfectly able to engage in manual labor, no matter what kind of physical stress that includes."
